CPU,Display,Graphics,Name,Price,Ram,Storage,URL
Intel Core i5-1230U,13.4 Inch Full HD+,Intel Iris xe Graphics,"[New Outlet] Dell XPS 13 9315 - i5-1230U | 13.4"" Full HD+",19.990.000 đ,8GB LPDDR5,SSD 512GB,https://laptop88.vn/laptop-cu-dell-xps-9300-intel-core-i5.html
i5 - 6200U,15.6 Inch Full HD,Intel HD 620,Laptop Cũ Dell Latitude E5580 - Intel Core i5,6.990.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-dell-latitude-5580-intel-core-i5/p4570.html
i7 - 7600U,"
14 Inch Full HD
",Intel HD 520,Laptop cũ Dell Latitude 7480 - Intel Core i7,8.490.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-dell-latitude-e7480-intel-core-i7.html
i7 - 1260P,13.3 Inch Full HD+,Intel Xe Graphics,[New Outlet] Dell XPS Plus 9320 - Intel Core i7-1260P | RAM 16GB | 13.3 Inch Full HD+ ,28.190.000 đ,16GB DDR5,SSD 512GB,https://laptop88.vn/laptop-dell-xps-plus-9320-intel-core-i7-1260p-ram-16gb-13.3-inch-3.5k-100-dci-p3.html
i5 - 8250U,14 Inch Full HD,Intel UHD 620,Laptop Cũ Dell Latitude 7490 - Intel Core i5,7.990.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-dell-latitude-7490-intel-core-i5.html
i5 - 8250U,"14"" Full HD",Intel HD 620,Laptop Cũ Dell Latitude 5490 - Intel Core i5,6.790.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-dell-latitude-5490-intel-core-i5.html
i7 - 6820HQ,"15.6"" Full HD | 4K",Quadro M1000,Laptop Cũ Dell Precision 7510 - Intel Core i7 / Xeon,9.990.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-precision-7510-intel-core-i7.html
i5 - 8265U,"14"" Full HD",Intel UHD 620,Laptop Cũ Dell Latitude 7400 - Intel Core i5,8.990.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-dell-latitude-7400-intel-core-i5/p6081.html
i5 - 6300HQ,15.6'' Full HD,Nvidia GTX 960M,Laptop Gaming cũ Dell Inspiron 7559 - Intel Core i5,9.790.000 đ,8GB DDR3,SSD 240GB,https://laptop88.vn/laptop-gaming-dell-7559-cu-core-i5-6300hq-ram-8gb-hdd-500gb-nvidia-geforce-gtx-960m-full-hd-15.6-inch.html
"
Core i7 10750H
",15.6 inch Full HD+,"
Nvidia Quadro T1000
",Laptop Cũ Dell Precision 5550 - Intel Core i7-10750H | T1000 | 32GB | 15 inch Full HD+,25.990.000 đ,32GB DDR4,SSD 1TB NVMe,https://laptop88.vn/laptop-cu-dell-precision-5550-intel-core-i7.html
i3-6010U,14 Inch HD,Intel HD 520,Laptop Cũ Dell Latitude 3490 - Intel Core i3,4.990.000 đ,4GB DDR4,SSD 128GB,https://laptop88.vn/laptop-cu-dell-latitude-3490-intel-core-i3.html
,,,Laptop Cũ Dell Latitude E7440 - Intel Core i3,3.690.000 đ,,,https://laptop88.vn/laptop-cu-dell-latitude-e7440-intel-core-i3.html
i5 - 7200U,15.6 Inch HD,Intel UHD Graphics,Laptop Cũ Lenovo Thinkpad L570 - Intel Core i5,6.490.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-l570-intel-core-i5/p5701.html
i7 - 6600U,13.3'' Full HD,Intel HD 520,Laptop Cũ Dell Latitude 7380 - Intel Core i7,7.390.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-dell-latitude-7380-intel-core-i7/p5695.html
i5 - 9300H,"15.6"" Full HD",Nvidia GTX 1650,Laptop Cũ Dell Inspiron Gaming G3 3590 - Intel Core i5-9300H | GTX 1650,14.490.000 đ,16GB DDR4,SSD 512GB,https://laptop88.vn/laptop-cu-dell-gaming-g3-3590-intel-core-i5/p5587.html
i7 - 8650U,"14"" Full HD",Intel HD 620,Laptop Cũ Lenovo Thinkpad T480s - Intel Core i7 ,11.690.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-t480s-intel-core-i7-8650u/p5181.html
i5 - 8250u,13.3'' Full HD,Intel UHD 620,Laptop Cũ Dell Latitude 7390 2 in 1 - Intel Core i5,8.990.000 đ,8GB LPDDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-7390-2-in-1-intel-core-i7/p5099.html
i5 - 6200U,"14"" Full HD",Intel HD 520,Laptop Cũ HP Folio Elitebook 1040 G3 - Intel Core i5,6.700.000 đ,16GB Onmain,SSD 240GB,https://laptop88.vn/laptop-cu-hp-elitebook-1040-g3-intel-core-i5.html
i7 - 8650U,"14"" Full HD",Intel HD 620,Laptop cũ HP Elitebook 840 G5 - Intel Core i7,9.690.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-elitebook-840-g5-intel-core-i7.html
i7-7820HQ,14 Inch Full HD,Nvidia GT 930M,Laptop Cũ Dell Latitude E5480 - Intel Core i7,7.190.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-e5480-intel-core-i7/p4675.html
i5 - 8300H,15.6'' Full HD,Nvidia GTX 1050,Laptop Gaming Cũ Dell Inspiron G3 3579 - Intel Core i5,12.390.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-gaming-cu-dell-g3-3579-intel-core-i5.html
i7 - 6600u,12.5'' Full HD,Intel HD 520,Laptop Cũ Dell Latitude E7280 i7 6600U ,6.390.000 đ,8GB ,SSD 256GB,https://laptop88.vn/laptop-latitude-e7280-core-i7-6600u-ram/p4189.html
i7-6500U,13.3'' 3K,Intel HD 520,Laptop cũ Dell XPS 13 9350 - Intel Core i7,10.990.000 đ,16GB LPDDR3,SSD 256GB,https://laptop88.vn/laptop-dell-xps-13-9350-intel-core-i7.html
i5 - 6200U,14 Inch Full HD,Intel HD 520,Laptop Cũ Dell Latitude E5470 - Intel Core i5,5.290.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-dell-latitude-e5470.html
i5 - 8250U,15.6 Inch Full HD,Card rời AMD,Laptop Cũ Dell Inspiron 15 5570 - Intel Core i5-8250U | 15.6 inch Full HD,9.990.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-dell-inspiron-5570-intel-core-i5-8250uram-8gbhdd-1tbintel-uhd-graphics-620156-inch-fullhd-cam-ungkeyled/p3924.html
,,,Laptop cũ HP Probook 6570b - Intel Core i5,4.190.000 đ,,,https://laptop88.vn/laptop-cu-hp-probook-6570b-core-i5-3320m-ram-4gb-hdd-250gb-vga-intel-hd-graphics-4000-156-inch-bao-hanh-1-nam/p2421.html
i5 - 8250U,15.6 Inch Full HD,Intel HD 620,Laptop Cũ Dell Latitude 3500 - Intel Core i5,8.490.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-3500-intel-core-i5.html
i5 - 6200U,14 Inch HD,Intel HD 520,Laptop Cũ HP Probook 640 G2 - Intel Core i5,4.790.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-probook-640-g2-intel-core-i5/p5073.html
i7 - 3740QM,"15.6"" Full HD",Quadro K1000M,Laptop cũ Dell Precision M4700 - Intel Core i7,6.990.000 đ,8GB DDR3,SSD 240GB,https://laptop88.vn/laptop-cu-dell-precision-m4700-core-i7-3720qm-3820qm-3840qm-ram-8gb-hdd-500gb-vga-2gb-nvidia-quadro-K1000m-K2000m-156-inch-fullhd-bh-1-nam.html
i7-8650U,14 Inch Full HD,Intel HD 620,Laptop Cũ Dell Latitude 5400 - Intel Core i7,9.290.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-dell-latitude-5400-intel-core-i7.html
"
Core i9-10885H
",15.6 inch Full HD+,"
Nvidia Quadro T1000
",Laptop Cũ Dell Precision 5550 - Intel Core i9-10885H | T1000 | 32GB | 15 inch Full HD+,29.990.000 đ,32GB DDR4,SSD 1TB NVMe,https://laptop88.vn/laptop-cu-dell-precision-5550-intel-core-i7-10750h-t1000.html
i5 - 1135G7,15.6'' Full HD,Intel Iris Xe Graphics,Laptop Cũ Dell Inspiron 5502 MFK29 - Intel Core i5 - 1135G7 | 15.6 Inch Full HD,12.990.000 đ,12GB DDR4,SSD 256GB NMVe,https://laptop88.vn/new-outlet-laptop-dell-inspiron-5502-mfk29-intel-core-i5-1135g7-15.6-inch-full-hd.html
"
i5 - 8560u
",14 inch Full HD,UHD 620,Laptop cũ HP Elitebook x360 1040 G5 - Intel Core i7 | 14 inch Full HD,14.990.000 đ,8GB LPDDR4,SSD 256GB ,https://laptop88.vn/laptop-cu-hp-elitebook-x360-1040-g5-intel-core-i7-14-inch-full-hd.html
i7 - 8750H,"15.6"" Full HD",Quadro P1000M,Laptop Cũ Dell Precision 7530 - Intel Core i7 / Xeon,16.990.000 đ,16GB DDR4,SSD 512GB,https://laptop88.vn/laptop-cu-dell-precision-7530-intel-core-i7.html
i7 - 6820HQ,17.3'' Full HD,Quadro M3000M,Laptop Cũ Dell Precision 7710 - Intel Core i7 / Xeon,15.990.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-precision-7710-intel-core-i7.html
i7 - 6820HQ,"17.3"" Full HD",Quadro P3000M,Laptop Cũ Dell Precision 7720 - Intel Core i7 / Xeon,14.990.000 đ,8GB ,SSD 256GB,https://laptop88.vn/laptop-cu-dell-precision-7720-intel-core-i7/p5087.html
i5 - 8265u,14'' Full HD,Intel HD Graphics,Laptop Cũ Lenovo Thinkpad T480s - Intel Core i5,10.690.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-lenovo-thinkpad-t480s-intel-core-i5.html
i7 - 6820HQ,15.6'' Full HD,Quadro M620,Laptop Cũ Dell Precision 3520 - Intel Core i7 / Xeon,9.590.000 đ,16GB DDR4,SSD 240GB,https://laptop88.vn/laptop-cu-dell-precision-3520-intel-core-i7.html
i7 - 6600U,14'' Full HD,Intel HD 520,Laptop Dell Latitude E7470 - Intel Core i7,6.990.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-dell-latitude-e7470-intel-core-i7.html
i7 - 7820HQ / Xeon,15.6 Inch Full HD,Quadro M1200,Laptop cũ Dell Precision 5520 - Intel Core i7 / Xeon E3,15.490.000 đ,16GB DDR4,SSD 512GB,https://laptop88.vn/laptop-cu-dell-precision-m5520-intel-core-i7.html
Core i9-9880H,"15.6"" Full HD",Quadro T2000,Laptop Cũ Workstation Dell Precision 5540 - Intel Core i9,24.990.000 đ,32GB DDR4,SSD 512GB,https://laptop88.vn/moi-99-no-box-laptop-workstation-dell-precision-5540-intel-core-i9/p5609.html
Core i7-9850H,"15.6"" Full HD",Quadro T1000,Laptop Workstation Cũ Dell Precision 5540 - Intel Core i7,19.990.000 đ,16GB DDR4,SSD 512GB,https://laptop88.vn/laptop-workstation-cu-dell-precision-5540-intel-core-i7/p5325.html
i7 - 8560U,"14"" Full HD","
Intel UHD 620
",Laptop Cũ Dell Latitude 7400 - Intel Core i7,9.990.000 đ,8GB / 16GB,SSD 240GB,https://laptop88.vn/laptop-cu-dell-latitude-7400-intel-core-i7.html
i7 - 6600U,12.5 Inch Full HD,Intel HD 520,Laptop cũ Dell Latitude E7270 - Intel Core i7,5.290.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-dell-latitude-e7270-core-i7.html
R5 - 3500U,15.6'' Full HD,AMD Radeon Graphics,[New Outlet] Laptop Dell Inspiron 15 3505 4MM0H - AMD Ryzen 5 - 3500U | 15.6 Inch Full HD,9.990.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/new-outlet-laptop-dell-inspiron-15-3505-4mm0h-amd-ryzen-5-3500u-15.6-inch-full-hd.html
"
R5 - 5625U
","16"" Full HD+","
AMD Radeon Graphics
",[New Outlet] Laptop Dell Inspiron 16 5625-R1505S - AMD Ryzen 5 - 5625U | 16 Inch Full HD+,14.790.000 đ,8GB DDR4 ,SSD 512GB NVMe,https://laptop88.vn/moi-99-full-box-laptop-dell-inspiron-16-5625-r1505s-amd-ryzen-5-5625u-16-inch-full-hd.html
"
AMD R7-5825U
","14.0"" Full HD+","
AMD Radeon Vega
",Laptop Cũ Dell Inspiron 14 5425 | AMD Ryzen 7-5825U | 14 Inch Full HD+,16.490.000 đ,8GB DDR4 ,SSD 512GB NVMe,https://laptop88.vn/laptop-cu-dell-inspiron-14-5425-amd-ryzen-7-5825u-14-inch-full-hd.html
"
i7 - 11850H
","15"" Full HD+","
Quadro T1200M
",Laptop Cũ Dell Precision 5560 - Intel Core i7 - 11850H | Quadro T1200M | 15.6 Inch Full HD+,29.990.000 đ,32GB DDR4,SSD 512GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-dell-precision-5560-intel-core-i7-11850h-rtx-t1200m.html
"
i7 - 8560U
","13.3"" Full HD",Intel UHD 620,Laptop Cũ Dell Latitude 7300 - Intel Core i7,9.290.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-7300-intel-core-i7.html
"
i5-1145G7
","14"" Full HD","
Intel Iris Xe Graphics
",Laptop Cũ Dell Latitude 7420 - Intel Core i5-1145G7 | 14 inch Full HD,13.490.000 đ,8GB DDR4,SSD 256GB NVMe,https://laptop88.vn/laptop-cu-dell-latitude-7420-intel-core-i5-1145g7-14-inch-full-hd.html
i7 - 9850H,"15.6"" Full HD",Quadro T2000M,Laptop Cũ Dell Precision 7540 - Intel Core i7,21.990.000 đ,16GB DDR4,SSD 512GB,https://laptop88.vn/laptop-cu-dell-precision-7540-intel-core-i7.html
,,,Mac Mini Late 2014 Cũ A1347 EMC 2840 - Intel Core i5 2.6GHz,6.800.000 đ,,,https://laptop88.vn/mac-mini-late-2014-cu-a1347-emc-2840-intel-core-i5-2.6ghz.html
i5 - 8250U,15.6 inch Full HD,Intel UHD Graphics,Laptop Cũ Dell Latitude 5590 - Intel Core i5,8.490.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5590-intel-core-i5/p4571.html
i7 - 7820HQ,"15.6"" Full HD",Intel HD Graphics,Laptop Cũ Dell Latitude 5580 - Intel Core i7,9.390.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5580-intel-core-i-7.html
"
i5 - 8250u
",14 inch FHD,UHD 620,Laptop cũ HP Elitebook x360 1040 G5 - Intel Core i5 | 14 inch Full HD,11.990.000 đ,8GB LPDDR4,SSD 256GB ,https://laptop88.vn/moi-100-full-box-laptop-hp-elitebook-x360-1040-g5-5xd03pa-intel-core-i5.html
i7-7500U,13.3'' Full HD,Intel HD 620,Laptop Cũ Dell XPS 13 9360 - Intel Core i7,15.990.000 đ,8GB LPDDR3,SSD 256GB,https://laptop88.vn/laptop-dell-xps-9360-intel-core-i7-7500u-ram-8gb-ssd-nvme-256gb-intel-iris-plus-graphic-640-13.3-inch-fullhd/p4133.html
i7 - 3720 QM,"17.3"" Full HD",Quadro K5000M,Laptop Cũ Dell Precision M6700 Intel Core i7,10.990.000 đ,8GB DDR3,SSD 256GB,https://laptop88.vn/laptop-cu-dell-precision-m6700.html
i3 - 6100U,12.5 Inch HD,Intel HD 520,Laptop Cũ Lenovo K21-80 - Intel Core i3,3.990.000 đ,4GB DDR3L,SSD 120GB,https://laptop88.vn/laptop-cu-lenovo-k21-intel-core-i3.html
i7 - 6700HQ,"15.6"" Full HD",Quadro M1000M,Laptop Workstation Cũ ThinkPad P50 - Intel Core i7 / Xeon,12.990.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-workstation-cu-thinkpad-p50-intel-core-i7.html
i5 - 8265U,"13.3"" Full HD",Intel UHD 620,Laptop Cũ Dell Latitude 7300 - Intel Core i5,8.190.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-7300-intel-core-i5.html
i7 - 8850H,15.6'' Full HD,Intel UHD Graphics,Laptop Cũ Dell Latitude 5591 - Intel Core i7,10.690.000 đ,8GB or 16GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5591-intel-core-i7.html
i5 - 5200U,14 Inch HD,Intel HD 5500,Laptop cũ Dell Latitude E5450 - Intel Core i5,4.990.000 đ,4GB DDR3,SSD 120GB,https://laptop88.vn/laptop-dell-latitude-e5450-intel-core-i5-5300uram-4gbssd-120gbintel-hd-graphics-550014-inch-hd.html
"
Intel Core i3 1115G4
","14.0"" HD","
Card Intel UHD Graphics
",Laptop Cũ Dell Vostro 3400 - Intel Core i3-1115G4,7.990.000 đ,4GB DDR4,SSD 256GB NVMe,https://laptop88.vn/moi-100-full-box-laptop-dell-vostro-3400-intel-core-i3.html
i5 - 7300HQ,"15.6"" Full HD",Nvidia GTX 1050,Laptop Gaming cũ Dell Inspiron 5577 - Intel Core i5,10.990.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/dell-inspiron-gaming-5577-intel-i5-7300hqram8ssd-hdd-1tb-nvidia-geforce-gtx-1050-4gb-ddr5fhd-ips156inch.html
i5 - 6200U,12.5 Inch Full HD,Intel HD Graphics,Laptop Dell Latitude 7280  - Intel Core i5,5.690.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-dell-latitude-7280-intel-core-i5.html
i5 - 4200M,14 Inch HD,Intel HD 620,Laptop Cũ Dell Latitude E6440 - Intel Core i5 ,3.990.000 đ,4GB DDR3,SSD 120GB,https://laptop88.vn/dell-latitude-e6440-core-i5.html
i5 - 5200U,15.6 Inch HD,Intel HD 5500,Laptop cũ Dell Latitude E5550 - Intel Core i5,5.490.000 đ,4GB DDR3,SSD 120GB,https://laptop88.vn/laptop-dell-latitude-e5550-intel-core-i5-5300u-ram-4gb-ssd-120gb-intel-hd-graphics-5500-15.6-inch-hd/p3992.html
i5 - 6200U,15.6'' Full HD,Intel HD 520,Laptop Dell Latitude E5570 - Intel Core i5,6.290.000 đ,8GB DDR4,SSD 240GB,https://laptop88.vn/laptop-dell-latitude-e5570-intel-core-i5.html
i5 - 7200U,14 Inch HD,Intel HD 620,Laptop Cũ HP Probook 640 G3 - Intel Core i5,5.990.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-hp-probook-640-g3-intel-core-i5.html
i5 - 6200U,13.3'' Full HD,Intel HD 520,Laptop cũ Dell XPS 13 9350 - Intel Core i5,8.690.000 đ,8GB LPDDR3,SSD 256GB,https://laptop88.vn/laptop-dell-xps-9350-intel-core-i5.html
R5 - 5500U,"14"" Full HD",Radeon Graphics,Laptop Cũ Asus Zenbook Q408UG - AMD Ryzen 5-5500U | 14 inch Full HD,11.990.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-asus-zenbook-q408ug-amd-ryzen-5-5500u-14-inch-full-hd.html
i7 - 8750H,"15.6"" Full HD",Nvidia GTX 1050Ti,Laptop Dell XPS 15 9570 - Intel Core i7 - 8750H | GTX 1050Ti,17.490.000 đ,16GB DDR4,SSD 1TB,https://laptop88.vn/laptop-dell-xps-15-9570-intel-core-i7-8750h.html
i5 - 8350U,"15.6"" Full HD",Intel UHD 620,Laptop Cũ Dell Latitude 5500 - Intel Core i5,9.290.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-5500-intel-core-i5.html
i5 - 10210U,"14"" Full HD",Intel UHD 620,Laptop Cũ Dell Latitude 3410 - Intel Core i5,9.990.000 đ,8GB DDR4,SSD 256GB,https://laptop88.vn/laptop-cu-dell-latitude-3410-intel-core-i5.html
i7 - 6600U,14 Inch HD,Intel HD 520,Laptop Cũ HP Probook 640 G2 - Intel Core i7,5.290.000 đ,8GB DDR4,SSD 128GB,https://laptop88.vn/laptop-cu-hp-probook-640-g2-intel-core-i7.html
